M,N,K,l1_tile_M,l1_tile_N,l1_tile_K,l1_loop_order,l0_M_tiling_factor,l0_N_tiling_factor,l0_K_tiling_factor,dataflow,cycle_count
64,64,1024,64,64,64,knm,1,4,1,os,438
64,64,1024,64,64,32,knm,4,1,1,os,310
64,64,1024,64,64,32,knm,1,2,2,os,438
64,64,1024,64,64,32,knm,2,1,2,os,438
64,64,1024,64,64,32,knm,2,2,1,os,310
64,64,1024,64,64,32,knm,1,1,4,os,694
64,64,1024,64,64,32,knm,1,4,1,os,310
64,128,8192,32,32,512,knm,4,1,1,os,2544
64,128,4096,32,32,512,knm,4,1,1,os,1321
64,128,8192,32,32,512,knm,1,2,2,os,1682
64,128,4096,32,32,512,knm,1,2,2,os,890
64,128,8192,32,32,512,knm,2,1,2,os,1682
64,128,4096,32,32,512,knm,2,1,2,os,890
64,128,8192,32,32,512,knm,2,2,1,os,1618
64,128,4096,32,32,512,knm,2,2,1,os,858
64,128,8192,32,32,512,knm,1,1,4,os,1810
64,128,4096,32,32,512,knm,1,1,4,os,954
64,128,8192,32,32,512,knm,1,4,1,os,2544
64,128,4096,32,32,512,knm,1,4,1,os,1321
64,128,8192,32,32,256,knm,4,1,1,os,1989
64,128,4096,32,32,256,knm,4,1,1,os,1416
64,128,8192,32,32,256,knm,1,2,2,os,1227
64,128,4096,32,32,256,knm,1,2,2,os,908
64,128,8192,32,32,256,knm,2,1,2,os,1227
64,128,4096,32,32,256,knm,2,1,2,os,908
64,128,8192,32,32,256,knm,2,2,1,os,1131
64,128,4096,32,32,256,knm,2,2,1,os,844
64,128,8192,32,32,256,knm,1,1,4,os,1419
64,128,4096,32,32,256,knm,1,1,4,os,1036
64,128,8192,32,32,256,knm,1,4,1,os,1989
64,128,4096,32,32,256,knm,1,4,1,os,1416
64,128,8192,64,64,256,knm,4,1,1,os,1675
64,128,4096,64,64,256,knm,4,1,1,os,1368
64,128,8192,64,64,256,knm,1,2,2,os,1683
64,128,4096,64,64,256,knm,1,2,2,os,1376
64,128,8192,64,64,256,knm,2,1,2,os,1683
64,128,4096,64,64,256,knm,2,1,2,os,1376
64,128,8192,64,64,256,knm,2,2,1,os,1675
64,128,4096,64,64,256,knm,2,2,1,os,1368
64,128,8192,64,64,256,knm,1,1,4,os,1699
64,128,4096,64,64,256,knm,1,1,4,os,1392
64,128,8192,64,64,256,knm,1,4,1,os,1675
64,128,4096,64,64,256,knm,1,4,1,os,1368
64,128,4096,32,32,128,knm,4,1,1,os,1090
64,128,4096,32,32,128,knm,1,2,2,os,712
64,128,4096,32,32,128,knm,2,1,2,os,712
64,128,4096,32,32,128,knm,2,2,1,os,616
64,128,4096,32,32,128,knm,1,1,4,os,904
64,128,4096,32,32,128,knm,1,4,1,os,1090
64,128,4096,64,64,128,knm,4,1,1,os,954
64,128,4096,64,64,128,knm,1,2,2,os,1082
64,128,4096,64,64,128,knm,2,1,2,os,1082
64,128,4096,64,64,128,knm,2,2,1,os,954
64,128,4096,64,64,128,knm,1,1,4,os,1338
64,128,4096,64,64,128,knm,1,4,1,os,954
64,128,2048,32,32,512,knm,4,1,1,os,1167
64,128,2048,32,32,512,knm,1,2,2,os,736
64,128,2048,32,32,512,knm,2,1,2,os,736
64,128,2048,32,32,512,knm,2,2,1,os,704
64,128,2048,32,32,512,knm,1,1,4,os,800
64,128,2048,32,32,512,knm,1,4,1,os,1167
64,128,2048,32,32,256,knm,4,1,1,os,734
64,128,2048,32,32,256,knm,1,2,2,os,480
64,128,2048,32,32,256,knm,2,1,2,os,480
64,128,2048,32,32,256,knm,2,2,1,os,448
64,128,2048,32,32,256,knm,1,1,4,os,544
64,128,2048,32,32,256,knm,1,4,1,os,734
64,128,2048,32,32,128,knm,4,1,1,os,773
64,128,2048,32,32,128,knm,1,2,2,os,521
64,128,2048,32,32,128,knm,2,1,2,os,521
64,128,2048,32,32,128,knm,2,2,1,os,457
64,128,2048,32,32,128,knm,1,1,4,os,649
64,128,2048,32,32,128,knm,1,4,1,os,773
64,128,2048,32,32,64,knm,4,1,1,os,640
64,128,2048,32,32,64,knm,1,2,2,os,454
64,128,2048,32,32,64,knm,2,1,2,os,454
64,128,2048,32,32,64,knm,2,2,1,os,358
64,128,2048,32,32,64,knm,1,1,4,os,646
64,128,2048,32,32,64,knm,1,4,1,os,640
64,128,2048,64,64,256,knm,4,1,1,os,1214
64,128,2048,64,64,256,knm,1,2,2,os,1222
64,128,2048,64,64,256,knm,2,1,2,os,1222
64,128,2048,64,64,256,knm,2,2,1,os,1214
64,128,2048,64,64,256,knm,1,1,4,os,1238
64,128,2048,64,64,256,knm,1,4,1,os,1214
64,128,2048,64,64,128,knm,4,1,1,os,800
64,128,2048,64,64,128,knm,1,2,2,os,928
64,128,2048,64,64,128,knm,2,1,2,os,928
64,128,2048,64,64,128,knm,2,2,1,os,800
