B, M, K, N, latency
4, 8, 128, 4, 3.48914954182544e-08
4, 8, 4, 128, 3.2151152240972605e-08
4, 8, 128, 8, 3.657667619306841e-08
4, 8, 8, 128, 3.378424968245328e-08
1, 130, 8192, 4096, 2.0217746325530757e-05
1, 130, 8192, 1024, 6.336418072945019e-06
1, 130, 4096, 8192, 2.0197060424605335e-05
1, 130, 8192, 14336, 6.648884050081655e-05
1, 130, 14336, 8192, 6.821393576483397e-05
1, 260, 8192, 4096, 3.227871529667937e-05
1, 260, 8192, 1024, 9.550353837778988e-06
1, 260, 4096, 8192, 3.235002721829069e-05
1, 260, 8192, 14336, 0.00010389765922700054
1, 260, 14336, 8192, 0.00010565922700054436
1, 130, 8192, 512, 3.6771910724006533e-06
2, 8, 128, 4, 3.159057831307083e-08
2, 8, 4, 128, 2.9951309502207704e-08
2, 8, 128, 8, 3.215230523800883e-08
2, 8, 8, 128, 3.1040041129861495e-08
1, 130, 2048, 8192, 1.0947740881872618e-05
1, 130, 8192, 7168, 3.4099074578116496e-05
1, 130, 7168, 8192, 3.597332607512248e-05
1, 260, 8192, 512, 5.492651061513337e-06
1, 260, 2048, 8192, 1.7618943930321174e-05
1, 260, 8192, 7168, 5.391399020141535e-05
1, 260, 7168, 8192, 5.756722917800762e-05
1, 260, 8192, 256, 3.4518236254763203e-06
1, 8, 128, 4, 2.939575394665215e-08
1, 8, 4, 128, 2.8851388132825257e-08
1, 8, 128, 8, 2.994011976047904e-08
1, 2048, 128, 256, 8.08927599346761e-07
1, 2048, 256, 128, 7.310832879695155e-07
1, 8, 128, 1, 6.293402777777778e-10
1, 8, 1, 128, 2.8307022318998365e-08
1, 512, 128, 256, 2.623843222645618e-07
1, 512, 256, 128, 2.7708219923788785e-07
1, 1024, 128, 256, 4.708764289602613e-07
1, 1024, 256, 128, 4.458356015242243e-07
1, 8, 128, 2, 2.939575394665215e-08
1, 8, 2, 128, 2.8851388132825257e-08
1, 8, 128, 4, 2.939575394665215e-08
1, 8, 4, 128, 2.8851388132825257e-08
1, 8, 128, 8, 2.994011976047904e-08
1, 8, 8, 128, 2.939575394665215e-08
1, 260, 1024, 8192, 1.0201959716929777e-05
1, 260, 8192, 3584, 2.8672836145890037e-05
1, 260, 3584, 8192, 3.21883505715841e-05
1, 130, 8192, 256, 2.2792596624931954e-06
1, 130, 1024, 8192, 6.54109961894393e-06
1, 130, 8192, 3584, 1.7904191616766467e-05
1, 130, 3584, 8192, 1.9401741970604246e-05
1, 130, 512, 8192, 4.121937942297224e-06
1, 130, 8192, 1792, 9.806750136091453e-06
1, 130, 1792, 8192, 1.1886771910724006e-05
1, 260, 512, 8192, 6.4207947740881875e-06
1, 260, 8192, 1792, 1.566902558519325e-05
1, 260, 1792, 8192, 1.8866086009798586e-05
1, 260, 256, 8192, 4.403375068045727e-06
1, 260, 8192, 896, 9.065323897659226e-06
1, 260, 896, 8192, 1.2393032117583015e-05
8, 8, 128, 16, 5.111213179701203e-08
8, 8, 16, 128, 4.689378818121333e-08
8, 8, 128, 32, 6.466302243996854e-08
8, 8, 32, 128, 5.995856771305873e-08
8, 8, 128, 64, 9.01317062844009e-08
8, 8, 64, 128, 8.77212242182302e-08
8, 8, 128, 128, 1.350810500211698e-07
1, 66, 8192, 8192, 3.754001088731628e-05
1, 66, 8192, 2048, 9.973326075122482e-06
1, 66, 8192, 28672, 0.0001294289602612956
1, 66, 28672, 8192, 0.00013120903647250953
1, 132, 8192, 8192, 3.8736526946107784e-05
1, 132, 8192, 2048, 1.0973870440936309e-05
1, 132, 8192, 28672, 0.00013127871529667936
1, 132, 28672, 8192, 0.0001354436581382689
1, 264, 8192, 8192, 6.119597169297768e-05
1, 264, 8192, 2048, 1.7548720740337508e-05
1, 264, 8192, 28672, 0.0002022128470332063
1, 264, 28672, 8192, 0.00020661350027218291
1, 66, 8192, 4096, 1.9162221012520412e-05
1, 66, 8192, 1024, 5.3788786064235164e-06
4, 8, 128, 16, 3.9402671928869535e-08
4, 8, 16, 128, 3.705044456541463e-08
4, 8, 128, 32, 4.668776084195246e-08
4, 8, 32, 128, 4.467156595899111e-08
4, 8, 128, 64, 5.9080475412810744e-08
4, 8, 64, 128, 5.773634549083651e-08
4, 8, 128, 128, 8.549900199600798e-08
1, 66, 4096, 8192, 1.9140446379967338e-05
1, 66, 8192, 14336, 6.510669569951007e-05
1, 66, 14336, 8192, 6.58726183995645e-05
1, 132, 8192, 4096, 2.022808927599347e-05
1, 132, 8192, 1024, 6.34676102340773e-06
1, 132, 4096, 8192, 2.0211213935764835e-05
1, 132, 8192, 14336, 6.649918345127926e-05
1, 132, 14336, 8192, 6.82569406641263e-05
1, 264, 8192, 4096, 3.232280892759934e-05
1, 264, 8192, 1024, 9.574305933587371e-06
1, 264, 4096, 8192, 3.239357648339684e-05
1, 264, 8192, 14336, 0.00010396897114861186
1, 264, 14336, 8192, 0.00010576211213935765
1, 132, 8192, 512, 3.688622754491018e-06
2, 8, 128, 16, 3.3820124901711724e-08
2, 8, 16, 128, 3.267313857134217e-08
2, 8, 128, 32, 3.7700130042944413e-08
2, 8, 32, 128, 3.593933345430352e-08
2, 8, 128, 64, 4.3827042883929106e-08
2, 8, 64, 128, 4.356045484788e-08
1, 2048, 128, 256, 8.08927599346761e-07
1, 2048, 256, 128, 7.310832879695155e-07
1, 8, 128, 1, 6.293402777777778e-10
1, 8, 1, 128, 2.8307022318998365e-08
1, 512, 128, 256, 2.623843222645618e-07
1, 512, 256, 128, 2.7708219923788785e-07
1, 1024, 128, 256, 4.708764289602613e-07
1, 1024, 256, 128, 4.458356015242243e-07
1, 8, 128, 2, 2.939575394665215e-08
1, 8, 2, 128, 2.8851388132825257e-08
1, 8, 128, 4, 2.939575394665215e-08
1, 8, 4, 128, 2.8851388132825257e-08
1, 8, 128, 8, 2.994011976047904e-08
1, 8, 8, 128, 2.939575394665215e-08
2, 8, 128, 128, 5.66252343797254e-08
1, 132, 2048, 8192, 1.0960805661404464e-05
1, 132, 8192, 7168, 3.4109417528579204e-05
1, 132, 7168, 8192, 3.603211758301579e-05
1, 264, 8192, 512, 5.506804572672836e-06
1, 264, 2048, 8192, 1.765813826891671e-05
1, 264, 8192, 7168, 5.39776810016331e-05
1, 264, 7168, 8192, 5.766521502449646e-05
1, 264, 8192, 256, 3.472509526401742e-06
1, 8, 128, 16, 3.1028851388132825e-08
1, 8, 16, 128, 3.0484485574305937e-08
1, 8, 128, 32, 3.320631464344039e-08
1, 8, 32, 128, 3.211758301578661e-08
1, 8, 128, 64, 3.592814371257485e-08
1, 8, 64, 128, 3.538377789874796e-08
1, 8, 128, 128, 4.300489929232444e-08
1, 264, 1024, 8192, 1.023462166575939e-05
1, 264, 8192, 3584, 2.8713663581927056e-05
1, 264, 3584, 8192, 3.228198149156233e-05
1, 66, 8192, 512, 3.0664126292868807e-06
1, 66, 2048, 8192, 9.953184540010888e-06
1, 66, 8192, 7168, 3.2945563418617314e-05
1, 66, 7168, 8192, 3.375122482308111e-05
1, 66, 8192, 256, 1.772999455634186e-06
1, 66, 1024, 8192, 5.363091997822537e-06
1, 66, 8192, 3584, 1.686499727817093e-05
1, 66, 3584, 8192, 1.7704409363091997e-05
1, 132, 8192, 256, 2.2879695155144256e-06
1, 132, 1024, 8192, 6.555253130103429e-06
1, 132, 8192, 3584, 1.7914534567229178e-05
1, 132, 3584, 8192, 1.944637996733805e-05
1, 132, 512, 8192, 4.133369624387589e-06
1, 132, 8192, 1792, 9.817093086554164e-06
1, 132, 1792, 8192, 1.192487751769189e-05
1, 264, 512, 8192, 6.450190528034839e-06
1, 264, 8192, 1792, 1.570223189983669e-05
1, 264, 1792, 8192, 1.894882961350027e-05
1, 264, 256, 8192, 4.427871529667937e-06
1, 264, 8192, 896, 9.093086554164398e-06
1, 264, 896, 8192, 1.2473598258029395e-05
1, 34, 8192, 8192, 3.7175830157866083e-05
1, 34, 8192, 2048, 9.648339684267828e-06
8, 8, 128, 256, 2.1844734772878486e-07
8, 8, 256, 128, 2.200021169781649e-07
8, 8, 128, 512, 3.710264319845158e-07
8, 8, 512, 128, 3.7242454484969455e-07
8, 8, 128, 1024, 6.761846004959777e-07
8, 8, 1024, 128, 6.772694005927539e-07
8, 8, 128, 2048, 1.2865009375189015e-06
8, 8, 2048, 128, 1.2869591120788726e-06
8, 8, 128, 4096, 2.5071336115647492e-06
8, 8, 4096, 128, 2.50633853505111e-06
8, 8, 128, 8192, 4.948398959656445e-06
8, 8, 8192, 128, 4.9450973809955844e-06
8, 8, 128, 16384, 9.827119095143047e-06
8, 8, 16384, 128, 9.822070707070707e-06
8, 8, 128, 32768, 1.9545365027520716e-05
8, 8, 32768, 128, 1.9540089215508376e-05
1, 34, 8192, 28672, 0.0001287163854109962
1, 34, 28672, 8192, 0.0001295100707675558
1, 68, 8192, 8192, 3.755035383777899e-05
1, 68, 8192, 2048, 9.983669025585193e-06
1, 68, 8192, 28672, 0.0001294393032117583
1, 68, 28672, 8192, 0.0001313603701687534
1, 136, 8192, 8192, 3.877408818726184e-05
1, 136, 8192, 2048, 1.099836690255852e-05
1, 136, 8192, 28672, 0.00013135982580293957
1, 136, 28672, 8192, 0.00013562493195427326
1, 272, 8192, 8192, 6.131845400108873e-05
1, 272, 8192, 2048, 1.761513336962439e-05
1, 272, 8192, 28672, 0.00020247686445291235
1, 272, 28672, 8192, 0.00020700544365813826
1, 68, 8192, 4096, 1.9172563962983124e-05
1, 68, 8192, 1024, 5.3892215568862275e-06
4, 8, 128, 256, 1.3234803121030666e-07
4, 8, 256, 128, 1.3285882779894757e-07
4, 8, 128, 512, 2.1515877336236617e-07
4, 8, 512, 128, 2.1777989475594267e-07
4, 8, 128, 1024, 3.677154781346398e-07
4, 8, 1024, 128, 3.7020232262747234e-07
4, 8, 128, 2048, 6.728288876791871e-07
4, 8, 2048, 128, 6.750471783705316e-07
4, 8, 128, 4096, 1.2830557067682816e-06
4, 8, 4096, 128, 1.2847368898566504e-06
4, 8, 128, 8192, 2.5035093449464706e-06
4, 8, 8192, 128, 2.5041163128288876e-06
4, 8, 128, 16384, 4.944416621302849e-06
4, 8, 16384, 128, 4.942875158773363e-06
4, 8, 128, 32768, 9.822964979132644e-06
4, 8, 32768, 128, 9.819848484848484e-06
1, 68, 4096, 8192, 1.9163309744148068e-05
1, 68, 8192, 14336, 6.511703864997278e-05
1, 68, 14336, 8192, 6.594175285792052e-05
1, 136, 8192, 4096, 2.0256940664126294e-05
1, 136, 8192, 1024, 6.369080021774633e-06
1, 136, 4096, 8192, 2.023952095808383e-05
1, 136, 8192, 14336, 6.654980947196515e-05
1, 136, 14336, 8192, 6.834349482852477e-05
1, 272, 8192, 4096, 3.240174197060424e-05
1, 272, 8192, 1024, 9.618399564507349e-06
