M, N, latency
1025, 53248, 7.925139970059881e-05
1025, 26624, 3.963796407185629e-05
1025, 13312, 1.9818982035928144e-05
1025, 6656, 9.909491017964072e-06
1025, 3328, 4.954745508982036e-06
1025, 1664, 2.477372754491018e-06
1025, 832, 1.2509505988023953e-06
1025, 416, 6.377395209580839e-07
1026, 53248, 7.932498502994012e-05
1026, 26624, 3.966249251497006e-05
1026, 13312, 1.9843510479041917e-05
1026, 6656, 9.934019461077843e-06
1026, 3328, 4.979273952095808e-06
1026, 1664, 2.5019011976047906e-06
1026, 832, 1.2509505988023953e-06
1026, 416, 6.377395209580839e-07
1028, 53248, 7.947215568862275e-05
1028, 26624, 3.9736077844311374e-05
1028, 13312, 1.9868038922155687e-05
1028, 6656, 9.934019461077843e-06
1028, 3328, 4.979273952095808e-06
1028, 1664, 2.5019011976047906e-06
1028, 832, 1.2509505988023953e-06
1028, 416, 6.377395209580839e-07
1032, 53248, 7.979102544910179e-05
1032, 26624, 3.990777694610779e-05
1032, 13312, 1.996615269461078e-05
1032, 6656, 9.98307634730539e-06
1032, 3328, 5.003802395209581e-06
1032, 1664, 2.5019011976047906e-06
1032, 832, 1.2509505988023953e-06
1032, 416, 6.377395209580839e-07
1040, 53248, 8.04042365269461e-05
1040, 26624, 4.020211826347305e-05
1040, 13312, 2.0113323353293413e-05
1040, 6656, 1.0056661676646706e-05
1040, 3328, 5.028330838323353e-06
1040, 1664, 2.5264296407185626e-06
1040, 832, 1.2754790419161678e-06
1040, 416, 6.377395209580839e-07
1056, 53248, 8.163065868263474e-05
1056, 26624, 4.081532934131737e-05
1056, 13312, 2.0407664670658684e-05
1056, 6656, 1.0203832335329342e-05
1056, 3328, 5.101916167664671e-06
1056, 1664, 2.5509580838323356e-06
1056, 832, 1.2754790419161678e-06
1056, 416, 6.377395209580839e-07
1088, 53248, 8.410803143712575e-05
1088, 26624, 4.2066279940119764e-05
1088, 13312, 2.1045404191616767e-05
1088, 6656, 1.0522702095808383e-05
1088, 3328, 5.273615269461078e-06
1088, 1664, 2.649071856287425e-06
1088, 832, 1.3245359281437126e-06
1088, 416, 6.622679640718563e-07
1152, 53248, 8.906277694610779e-05
