B, M, K, N, latency
1, 16, 128, 131072, 1.0381056069678823e-05
1, 16, 131072, 128, 1.0379422972237344e-05
1, 48, 2048, 16384, 1.897931409907458e-05
1, 48, 16384, 6656, 6.0677191072400654e-05
1, 48, 6656, 16384, 6.11115949918345e-05
1, 96, 16384, 256, 3.487207403375068e-06
1, 96, 2048, 16384, 1.9665759390310287e-05
1, 96, 16384, 6656, 6.170332063146435e-05
1, 96, 6656, 16384, 6.271475231355471e-05
1, 192, 16384, 256, 4.493195427327164e-06
1, 1024, 128, 64, 2.226456178551987e-07
1, 1024, 64, 128, 2.155688622754491e-07
1, 192, 2048, 16384, 2.2478497550353837e-05
1, 192, 16384, 6656, 6.526129559063691e-05
1, 192, 6656, 16384, 6.95547087642896e-05
1, 96, 1024, 16384, 1.0504627109417529e-05
1, 96, 16384, 3328, 3.154218835057159e-05
1, 96, 3328, 16384, 3.280511703864997e-05
1, 192, 1024, 16384, 1.3251497005988023e-05
1, 192, 16384, 3328, 3.5894393032117586e-05
1, 192, 3328, 16384, 3.868862275449102e-05
1, 192, 512, 16384, 8.396298312465978e-06
1, 192, 16384, 1664, 1.8967882416984212e-05
1, 192, 1664, 16384, 2.490201415351116e-05
1, 2, 16384, 16384, 0.0001462852476864453
1, 2, 16384, 2048, 1.845726728361459e-05
1, 2, 16384, 53248, 0.0004743903102885139
1, 2, 53248, 16384, 0.0004743380511703865
1, 3, 16384, 16384, 0.00014629559063690802
1, 3, 16384, 2048, 1.8467065868263475e-05
1, 3, 16384, 53248, 0.00047440119760479044
1, 3, 53248, 16384, 0.00047436744692433316
1, 3, 16384, 8192, 7.329994556341861e-05
1, 3, 16384, 1024, 9.317365269461078e-06
1, 3, 8192, 16384, 7.321502449646162e-05
1, 3, 16384, 26624, 0.00023747142079477408
1, 3, 26624, 16384, 0.00023745835601524223
1, 6, 16384, 8192, 7.33320631464344e-05
1, 6, 16384, 1024, 9.345672291780076e-06
1, 6, 8192, 16384, 7.323407729994556e-05
1, 6, 16384, 26624, 0.00023756341861731083
1, 6, 26624, 16384, 0.0002377490473598258
1, 6, 16384, 4096, 3.678116494284159e-05
1, 6, 16384, 512, 4.749047359825803e-06
2, 32, 128, 64, 5.228149761083893e-08
2, 32, 64, 128, 4.468275570071977e-08
1, 6, 4096, 16384, 3.668644529123571e-05
1, 6, 16384, 13312, 0.00011895699510070768
1, 6, 13312, 16384, 0.00011891616766467066
1, 12, 16384, 4096, 3.6849755035383776e-05
1, 12, 16384, 512, 4.809471965160588e-06
1, 12, 4096, 16384, 3.677517691888949e-05
1, 12, 16384, 13312, 0.00011907947740881873
1, 12, 13312, 16384, 0.00011910615133369625
1, 12, 16384, 256, 2.494284158954818e-06
1, 64, 128, 64, 4.0283070223189985e-08
1, 64, 64, 128, 4.137180185084377e-08
1, 12, 2048, 16384, 1.8478497550353838e-05
1, 12, 16384, 6656, 5.969134458356015e-05
1, 12, 6656, 16384, 5.98116494284159e-05
1, 24, 16384, 256, 2.61295590636908e-06
1, 24, 2048, 16384, 1.8661404463799675e-05
1, 24, 16384, 6656, 6.0023952095808387e-05
1, 24, 6656, 16384, 6.029940119760479e-05
1, 24, 1024, 16384, 9.49047359825803e-06
1, 24, 16384, 3328, 3.02449646162221e-05
1, 24, 3328, 16384, 3.053293413173653e-05
1, 48, 1024, 16384, 9.821992378878606e-06
1, 48, 16384, 3328, 3.077082199237888e-05
1, 48, 3328, 16384, 3.139793140990746e-05
1, 48, 512, 16384, 5.253130103429504e-06
1, 48, 16384, 1664, 1.581763745236799e-05
1, 48, 1664, 16384, 1.6520958083832336e-05
1, 96, 512, 16384, 5.942297223734349e-06
1, 96, 16384, 1664, 1.6461622210125203e-05
1, 96, 1664, 16384, 1.825421883505716e-05
1, 96, 256, 16384, 3.678279804028307e-06
1, 96, 16384, 832, 8.929776810016332e-06
1, 96, 832, 16384, 1.0833424060968972e-05
1, 192, 256, 16384, 5.813282525857376e-06
1, 192, 16384, 832, 1.0697332607512248e-05
1, 192, 832, 16384, 1.61578660860098e-05
1, 192, 16384, 128, 3.200870985302123e-06
1, 192, 128, 16384, 4.516058791507894e-06
1, 192, 16384, 416, 6.600435492651062e-06
1, 192, 416, 16384, 1.2304300489929232e-05
1, 8, 16384, 16384, 0.00014644692433315188
1, 8, 16384, 2048, 1.8534022863364182e-05
1, 8, 16384, 53248, 0.00047513445835601525
1, 8, 53248, 16384, 0.00047530048992923244
1, 16, 16384, 16384, 0.000146886771910724
1, 16, 16384, 2048, 1.8705498094719653e-05
1, 16, 16384, 53248, 0.0004759352204681546
1, 16, 53248, 16384, 0.00047648121937942295
1, 32, 16384, 16384, 0.0001475057158410452
1, 32, 16384, 2048, 1.904409363091998e-05
1, 32, 16384, 53248, 0.0004774964616222101
1, 32, 53248, 16384, 0.0004788056614044638
1, 64, 16384, 16384, 0.00014868644529123572
1, 64, 16384, 2048, 1.9493195427327164e-05
1, 64, 16384, 53248, 0.0004805617855198694
1, 64, 53248, 16384, 0.00048340555253130105
1, 128, 16384, 16384, 0.00015127272727272727
1, 128, 16384, 2048, 2.0620032661948828e-05
1, 128, 16384, 53248, 0.0004868546543277082
1, 128, 53248, 16384, 0.0004932994011976048
1, 256, 16384, 16384, 0.0001912248230811105
1, 256, 16384, 2048, 2.801524224278715e-05
8, 2048, 128, 128, 2.5050819572975263e-06
1, 256, 16384, 53248, 0.000608135002721829
1, 256, 53248, 16384, 0.0006169667936853565
1, 16, 16384, 8192, 7.368209036472509e-05
1, 16, 16384, 1024, 9.526401741970604e-06
1, 16, 8192, 16384, 7.346978769733261e-05
1, 16, 16384, 26624, 0.0002383260751224823
1, 16, 26624, 16384, 0.00023870767555797496
1, 32, 16384, 8192, 7.409907457811649e-05
1, 32, 16384, 1024, 9.74632553075667e-06
1, 32, 8192, 16384, 7.37795318454001e-05
1, 32, 16384, 26624, 0.00023920794774088188
1, 32, 26624, 16384, 0.0002399940119760479
1, 64, 16384, 8192, 7.486173108328797e-05
1, 64, 16384, 1024, 1.0148611867174742e-05
1, 64, 8192, 16384, 7.425857376156778e-05
1, 64, 16384, 26624, 0.0002409145345672292
1, 64, 26624, 16384, 0.0002424512792596625
1, 128, 16384, 8192, 7.669896570495372e-05
1, 128, 16384, 1024, 1.0939031028851389e-05
1, 128, 8192, 16384, 7.554001088731627e-05
1, 128, 16384, 26624, 0.0002444899292324442
1, 128, 26624, 16384, 0.00024822754491017965
1, 256, 16384, 8192, 9.857811649428415e-05
1, 256, 16384, 1024, 1.5164398475775721e-05
4, 2048, 128, 128, 1.3515441843585557e-06
1, 256, 8192, 16384, 9.742188350571584e-05
1, 256, 16384, 26624, 0.00030703320631464344
1, 256, 26624, 16384, 0.00031461404463799676
1, 32, 16384, 4096, 3.739575394665215e-05
1, 32, 4096, 16384, 3.709199782253674e-05
1, 32, 16384, 13312, 0.00011997822536744692
1, 32, 13312, 16384, 0.00012003375068045727
1, 64, 16384, 4096, 3.79493739793141e-05
1, 64, 4096, 16384, 3.748067501360914e-05
1, 64, 16384, 13312, 0.0001210021774632553
1, 64, 13312, 16384, 0.00012117637452367991
1, 128, 16384, 4096, 3.941208492106696e-05
1, 128, 4096, 16384, 3.8794229722373436e-05
1, 128, 16384, 13312, 0.00012330756668481218
1, 128, 13312, 16384, 0.00012390419161676647
1, 256, 16384, 4096, 5.203266194882961e-05
1, 256, 16384, 512, 7.5819270549809475e-06
2, 2048, 128, 128, 7.225161797616888e-07
1, 256, 4096, 16384, 5.2003810560696786e-05
1, 256, 16384, 13312, 0.0001564823081110506
1, 256, 13312, 16384, 0.00015916712030484485
1, 64, 16384, 256, 3.0391943385955362e-06
1, 64, 2048, 16384, 1.9142623843222646e-05
1, 64, 16384, 6656, 6.101959716929777e-05
1, 64, 6656, 16384, 6.159063690800218e-05
1, 128, 16384, 256, 3.799673380511704e-06
1, 128, 2048, 16384, 2.0074578116494283e-05
1, 128, 16384, 6656, 6.27163854109962e-05
1, 128, 6656, 16384, 6.424169842133914e-05
1, 256, 16384, 256, 5.155144256940664e-06
1, 2048, 128, 128, 5.182362547632009e-07
1, 256, 2048, 16384, 2.818943930321176e-05
1, 256, 16384, 6656, 8.205443658138268e-05
1, 256, 6656, 16384, 8.714044637996734e-05
1, 128, 1024, 16384, 1.0881328252585738e-05
1, 128, 16384, 3328, 3.242079477408819e-05
1, 128, 3328, 16384, 3.4121393576483396e-05
1, 256, 1024, 16384, 1.6270549809471966e-05
1, 256, 16384, 3328, 4.4626020685900925e-05
1, 256, 3328, 16384, 4.788786064235166e-05
1, 256, 512, 16384, 1.0308655416439847e-05
1, 256, 16384, 1664, 2.454491017964072e-05
1, 256, 1664, 16384, 2.9528034839412086e-05
1, 4, 16384, 16384, 0.00014630593358737072
1, 4, 16384, 2048, 1.8479586281981493e-05
1, 4, 16384, 53248, 0.0004747512248230811
1, 4, 53248, 16384, 0.0004747245508982036
1, 4, 16384, 8192, 7.331028851388133e-05
1, 4, 16384, 1024, 9.326619488296136e-06
4, 32, 128, 128, 8.178914897477772e-08
1, 4, 8192, 16384, 7.322101252041372e-05
1, 4, 16384, 26624, 0.00023754164398475777
1, 4, 26624, 16384, 0.00023771692977681003
1, 8, 16384, 8192, 7.335383777898747e-05
1, 8, 16384, 1024, 9.36962438758846e-06
1, 8, 8192, 16384, 7.324659771366358e-05
1, 8, 16384, 26624, 0.00023781328252585739
1, 8, 26624, 16384, 0.00023802395209580838
1, 8, 16384, 4096, 3.680729450190528e-05
2, 64, 128, 128, 6.704651303453699e-08
1, 8, 4096, 16384, 3.6762112139357646e-05
1, 8, 16384, 13312, 0.00011903701687534023
1, 8, 13312, 16384, 0.00011907240065323898
1, 16, 16384, 4096, 3.7031028851388135e-05
1, 16, 4096, 16384, 3.687425149700599e-05
1, 16, 16384, 13312, 0.00011943767011431682
1, 16, 13312, 16384, 0.0001194474686989657
1, 16, 16384, 256, 2.5302123026673924e-06
1, 128, 128, 128, 6.042460533478498e-08
1, 16, 2048, 16384, 1.8577027762656505e-05
1, 16, 16384, 6656, 5.9937942297223735e-05
1, 16, 6656, 16384, 6.004953728905825e-05
1, 32, 16384, 256, 2.7016875340228633e-06
1, 32, 2048, 16384, 1.8761023407729994e-05
1, 32, 16384, 6656, 6.0335329341317365e-05
1, 32, 6656, 16384, 6.057321720195972e-05
1, 32, 1024, 16384, 9.581927054980947e-06
1, 32, 16384, 3328, 3.0513881328252586e-05
1, 32, 3328, 16384, 3.080675013609146e-05
1, 64, 1024, 16384, 9.977681001633097e-06
1, 64, 16384, 3328, 3.1028307022319e-05
1, 64, 3328, 16384, 3.1847033206314646e-05
1, 64, 16384, 1664, 1.6032661948829614e-05
1, 64, 1664, 16384, 1.699618943930321e-05
1, 128, 16384, 1664, 1.7713663581927056e-05
1, 128, 1664, 16384, 1.9895481763745235e-05
