M, N, latency
1028, 28672, 7.38993475177305e-05
1028, 14336, 3.697021276595745e-05
1028, 7168, 1.8485106382978724e-05
1028, 3584, 9.242553191489362e-06
1028, 1792, 4.641815602836879e-06
1028, 896, 2.3414468085106386e-06
1032, 28672, 7.418689361702127e-05
1032, 14336, 3.709344680851063e-05
1032, 7168, 1.8567262411347518e-05
1032, 3584, 9.283631205673759e-06
1032, 1792, 4.641815602836879e-06
1032, 896, 2.3414468085106386e-06
1040, 28672, 7.476198581560283e-05
1040, 14336, 3.738099290780141e-05
1040, 7168, 1.8690496453900707e-05
1040, 3584, 9.365787234042554e-06
1040, 1792, 4.682893617021277e-06
1040, 896, 2.3414468085106386e-06
1056, 28672, 7.591217021276595e-05
1056, 14336, 3.7956085106382974e-05
1056, 7168, 1.8978042553191487e-05
1056, 3584, 9.489021276595743e-06
1056, 1792, 4.765049645390071e-06
1056, 896, 2.3825248226950355e-06
1088, 28672, 7.821253900709219e-05
1088, 14336, 3.9106269503546095e-05
1088, 7168, 1.9553134751773048e-05
1088, 3584, 9.776567375886524e-06
1088, 1792, 4.888283687943262e-06
1088, 896, 2.4646808510638294e-06
1152, 28672, 8.281327659574468e-05
1152, 14336, 4.140663829787234e-05
1152, 7168, 2.070331914893617e-05
1152, 3584, 1.0351659574468084e-05
1152, 1792, 5.175829787234042e-06
1152, 896, 2.587914893617021e-06
1280, 28672, 9.201475177304965e-05
1280, 14336, 4.600737588652482e-05
1280, 7168, 2.300368794326241e-05
1280, 3584, 1.1501843971631206e-05
1280, 1792, 5.750921985815603e-06
1280, 896, 2.8754609929078014e-06
1536, 28672, 0.00011041770212765957
1536, 14336, 5.5208851063829786e-05
1536, 7168, 2.7604425531914893e-05
1536, 3584, 1.3802212765957446e-05
1536, 1792, 6.901106382978723e-06
1536, 896, 3.4505531914893616e-06
2049, 28672, 0.00014730575886524823
2049, 14336, 7.365287943262411e-05
2049, 7168, 3.6846978723404255e-05
2049, 3584, 1.844402836879433e-05
2049, 1792, 9.242553191489362e-06
2049, 896, 4.641815602836879e-06
2050, 28672, 0.00014738791489361702
2050, 14336, 7.369395744680851e-05
2050, 7168, 3.6846978723404255e-05
2050, 3584, 1.844402836879433e-05
2050, 1792, 9.242553191489362e-06
2050, 896, 4.641815602836879e-06
2052, 28672, 0.00014751114893617022
2052, 14336, 7.377611347517731e-05
2052, 7168, 3.688805673758866e-05
2052, 3584, 1.844402836879433e-05
2052, 1792, 9.242553191489362e-06
2052, 896, 4.641815602836879e-06
2056, 28672, 0.000147798695035461
2056, 14336, 7.38993475177305e-05
2056, 7168, 3.697021276595745e-05
2056, 3584, 1.8485106382978724e-05
2056, 1792, 9.242553191489362e-06
2056, 896, 4.641815602836879e-06
2064, 28672, 0.00014837378723404253
2064, 14336, 7.418689361702127e-05
2064, 7168, 3.709344680851063e-05
2064, 3584, 1.8567262411347518e-05
2064, 1792, 9.283631205673759e-06
2064, 896, 4.641815602836879e-06
2080, 28672, 0.00014952397163120565
2080, 14336, 7.476198581560283e-05
2080, 7168, 3.738099290780141e-05
2080, 3584, 1.8690496453900707e-05
2080, 1792, 9.365787234042554e-06
2080, 896, 4.682893617021277e-06
2112, 28672, 0.0001518243404255319
2112, 14336, 7.591217021276595e-05
2112, 7168, 3.7956085106382974e-05
2112, 3584, 1.8978042553191487e-05
2112, 1792, 9.489021276595743e-06
2112, 896, 4.765049645390071e-06
2176, 28672, 0.00015642507801418438
2176, 14336, 7.821253900709219e-05
2176, 7168, 3.9106269503546095e-05
2176, 3584, 1.9553134751773048e-05
2176, 1792, 9.776567375886524e-06
2176, 896, 4.888283687943262e-06
2304, 28672, 0.00016562655319148935
2304, 14336, 8.281327659574468e-05
2304, 7168, 4.140663829787234e-05
2304, 3584, 2.070331914893617e-05
2304, 1792, 1.0351659574468084e-05
2304, 896, 5.175829787234042e-06
2560, 28672, 0.0001840295035460993
2560, 14336, 9.201475177304965e-05
2560, 7168, 4.600737588652482e-05
2560, 3584, 2.300368794326241e-05
2560, 1792, 1.1501843971631206e-05
2560, 896, 5.750921985815603e-06
9, 53248, 1.2323404255319147e-06
17, 53248, 2.300368794326241e-06
33, 53248, 4.436425531914894e-06
65, 53248, 8.708539007092198e-06
129, 53248, 1.725276595744681e-05
257, 53248, 3.434121985815603e-05
17, 26624, 1.1501843971631204e-06
33, 26624, 2.218212765957447e-06
65, 26624, 4.354269503546099e-06
129, 26624, 8.626382978723404e-06
257, 26624, 1.7170609929078015e-05
33, 13312, 1.1091063829787235e-06
65, 13312, 2.1771347517730495e-06
129, 13312, 4.313191489361702e-06
257, 13312, 8.585304964539007e-06
65, 6656, 1.1091063829787235e-06
129, 6656, 2.1771347517730495e-06
257, 6656, 4.313191489361702e-06
129, 3328, 1.1091063829787235e-06
257, 3328, 2.1771347517730495e-06
257, 1664, 1.1091063829787235e-06
3, 53248, 4.107801418439716e-07
5, 53248, 6.983262411347518e-07
5, 26624, 3.6970212765957447e-07
9, 26624, 6.161702127659574e-07
9, 13312, 3.286241134751773e-07
17, 13312, 5.750921985815602e-07
17, 6656, 2.875460992907801e-07
33, 6656, 5.750921985815602e-07
33, 3328, 2.875460992907801e-07
65, 3328, 5.750921985815602e-07
65, 1664, 2.875460992907801e-07
129, 1664, 5.750921985815602e-07
129, 832, 2.875460992907801e-07
257, 832, 5.750921985815602e-07
257, 416, 2.875460992907801e-07
258, 53248, 3.446445390070922e-05
258, 26624, 1.725276595744681e-05
258, 13312, 8.626382978723404e-06
258, 6656, 4.313191489361702e-06
258, 3328, 2.1771347517730495e-06
258, 1664, 1.1091063829787235e-06
258, 832, 5.750921985815602e-07
258, 416, 2.875460992907801e-07
130, 53248, 1.7376e-05
260, 53248, 3.47109219858156e-05
130, 26624, 8.708539007092198e-06
260, 26624, 1.7376e-05
130, 13312, 4.354269503546099e-06
260, 13312, 8.708539007092198e-06
130, 6656, 2.1771347517730495e-06
260, 6656, 4.354269503546099e-06
130, 3328, 1.1091063829787235e-06
260, 3328, 2.1771347517730495e-06
260, 1664, 1.1091063829787235e-06
130, 1664, 5.750921985815602e-07
130, 832, 2.875460992907801e-07
260, 832, 5.750921985815602e-07
260, 416, 2.875460992907801e-07
66, 53248, 8.83177304964539e-06
132, 53248, 1.7622468085106383e-05
264, 53248, 3.5244936170212765e-05
66, 26624, 4.436425531914894e-06
132, 26624, 8.83177304964539e-06
264, 26624, 1.7622468085106383e-05
66, 13312, 2.218212765957447e-06
132, 13312, 4.436425531914894e-06
264, 13312, 8.83177304964539e-06
66, 6656, 1.1091063829787235e-06
132, 6656, 2.218212765957447e-06
264, 6656, 4.436425531914894e-06
132, 3328, 1.1091063829787235e-06
264, 3328, 2.218212765957447e-06
264, 1664, 1.1091063829787235e-06
66, 3328, 5.750921985815602e-07
66, 1664, 2.875460992907801e-07
132, 1664, 5.750921985815602e-07
132, 832, 2.875460992907801e-07
264, 832, 5.750921985815602e-07
264, 416, 2.875460992907801e-07
34, 53248, 4.559659574468085e-06
68, 53248, 9.078241134751774e-06
136, 53248, 1.8156482269503548e-05
272, 53248, 3.6312964539007096e-05
34, 26624, 2.300368794326241e-06
68, 26624, 4.559659574468085e-06
136, 26624, 9.078241134751774e-06
272, 26624, 1.8156482269503548e-05
34, 13312, 1.1501843971631204e-06
68, 13312, 2.300368794326241e-06
136, 13312, 4.559659574468085e-06
272, 13312, 9.078241134751774e-06
68, 6656, 1.1501843971631204e-06
136, 6656, 2.300368794326241e-06
272, 6656, 4.559659574468085e-06
136, 3328, 1.1501843971631204e-06
272, 3328, 2.300368794326241e-06
272, 1664, 1.1501843971631204e-06
34, 6656, 5.750921985815602e-07
34, 3328, 2.875460992907801e-07
68, 3328, 5.750921985815602e-07
68, 1664, 2.875460992907801e-07
136, 1664, 5.750921985815602e-07
136, 832, 2.875460992907801e-07
272, 832, 5.750921985815602e-07
272, 416, 2.875460992907801e-07
18, 53248, 2.4236028368794325e-06
36, 53248, 4.806127659574468e-06
72, 53248, 9.612255319148936e-06
144, 53248, 1.9224510638297872e-05
288, 53248, 3.8449021276595744e-05
18, 26624, 1.2323404255319147e-06
36, 26624, 2.4236028368794325e-06
72, 26624, 4.806127659574468e-06
144, 26624, 9.612255319148936e-06
288, 26624, 1.9224510638297872e-05
36, 13312, 1.2323404255319147e-06
72, 13312, 2.4236028368794325e-06
144, 13312, 4.806127659574468e-06
288, 13312, 9.612255319148936e-06
72, 6656, 1.2323404255319147e-06
144, 6656, 2.4236028368794325e-06
288, 6656, 4.806127659574468e-06
144, 3328, 1.2323404255319147e-06
288, 3328, 2.4236028368794325e-06
288, 1664, 1.2323404255319147e-06
18, 13312, 6.161702127659574e-07
18, 6656, 3.286241134751773e-07
36, 6656, 6.161702127659574e-07
36, 3328, 3.286241134751773e-07
72, 3328, 6.161702127659574e-07
72, 1664, 3.286241134751773e-07
144, 1664, 6.161702127659574e-07
144, 832, 3.286241134751773e-07
288, 832, 6.161702127659574e-07
288, 416, 3.286241134751773e-07
10, 53248, 1.3555744680851064e-06
20, 53248, 2.670070921985816e-06
40, 53248, 5.340141843971632e-06
80, 53248, 1.0680283687943263e-05
160, 53248, 2.1360567375886527e-05
320, 53248, 4.2721134751773053e-05
20, 26624, 1.3555744680851064e-06
40, 26624, 2.670070921985816e-06
80, 26624, 5.340141843971632e-06
160, 26624, 1.0680283687943263e-05
320, 26624, 2.1360567375886527e-05
40, 13312, 1.3555744680851064e-06
80, 13312, 2.670070921985816e-06
160, 13312, 5.340141843971632e-06
320, 13312, 1.0680283687943263e-05
80, 6656, 1.3555744680851064e-06
160, 6656, 2.670070921985816e-06
320, 6656, 5.340141843971632e-06
160, 3328, 1.3555744680851064e-06
320, 3328, 2.670070921985816e-06
320, 1664, 1.3555744680851064e-06
10, 26624, 6.983262411347518e-07
10, 13312, 3.6970212765957447e-07
20, 13312, 6.983262411347518e-07
20, 6656, 3.6970212765957447e-07
40, 6656, 6.983262411347518e-07
40, 3328, 3.6970212765957447e-07
80, 3328, 6.983262411347518e-07
80, 1664, 3.6970212765957447e-07
160, 1664, 6.983262411347518e-07
160, 832, 3.6970212765957447e-07
320, 832, 6.983262411347518e-07
320, 416, 3.6970212765957447e-07
12, 53248, 1.6020425531914893e-06
24, 53248, 3.2040851063829787e-06
48, 53248, 6.408170212765957e-06
96, 53248, 1.2816340425531915e-05
192, 53248, 2.563268085106383e-05
384, 53248, 5.126536170212766e-05
24, 26624, 1.6020425531914893e-06
48, 26624, 3.2040851063829787e-06
96, 26624, 6.408170212765957e-06
192, 26624, 1.2816340425531915e-05
384, 26624, 2.563268085106383e-05
48, 13312, 1.6020425531914893e-06
96, 13312, 3.2040851063829787e-06
192, 13312, 6.408170212765957e-06
384, 13312, 1.2816340425531915e-05
96, 6656, 1.6020425531914893e-06
192, 6656, 3.2040851063829787e-06
384, 6656, 6.408170212765957e-06
192, 3328, 1.6020425531914893e-06
384, 3328, 3.2040851063829787e-06
384, 1664, 1.6020425531914893e-06
6, 53248, 8.215602836879432e-07
6, 26624, 4.107801418439716e-07
12, 26624, 8.215602836879432e-07
12, 13312, 4.107801418439716e-07
24, 13312, 8.215602836879432e-07
24, 6656, 4.107801418439716e-07
48, 6656, 8.215602836879432e-07
48, 3328, 4.107801418439716e-07
96, 3328, 8.215602836879432e-07
96, 1664, 4.107801418439716e-07
192, 1664, 8.215602836879432e-07
192, 832, 4.107801418439716e-07
384, 832, 8.215602836879432e-07
384, 416, 4.107801418439716e-07
