M, N, latency
1152, 7168, 7.99627245508982e-06
1152, 3584, 4.006312375249501e-06
1152, 1792, 2.0113323353293414e-06
1152, 896, 1.0138423153692615e-06
1280, 28672, 3.55335379241517e-05
1280, 14336, 1.7774945109780438e-05
1280, 7168, 8.89564870259481e-06
1280, 3584, 4.447824351297405e-06
1280, 1792, 2.2239121756487025e-06
1280, 896, 1.1119560878243513e-06
1536, 28672, 4.263043413173653e-05
1536, 14336, 2.1323393213572853e-05
1536, 7168, 1.0661696606786427e-05
1536, 3584, 5.330848303393213e-06
1536, 1792, 2.6654241516966066e-06
1536, 896, 1.3408882235528943e-06
2049, 28672, 5.6873283433133736e-05
2049, 14336, 2.8436641716566868e-05
2049, 7168, 1.4226497005988025e-05
2049, 3584, 7.1132485029940125e-06
2049, 1792, 3.564800399201597e-06
2049, 896, 1.7824001996007984e-06
2050, 28672, 5.688963572854292e-05
2050, 14336, 2.845299401197605e-05
2050, 7168, 1.4226497005988025e-05
2050, 3584, 7.1132485029940125e-06
2050, 1792, 3.564800399201597e-06
2050, 896, 1.7824001996007984e-06
2052, 28672, 5.6955044910179646e-05
2052, 14336, 2.848569860279441e-05
2052, 7168, 1.4242849301397205e-05
2052, 3584, 7.129600798403194e-06
2052, 1792, 3.564800399201597e-06
2052, 896, 1.7824001996007984e-06
2056, 28672, 5.705315868263474e-05
2056, 14336, 2.8534755489021957e-05
2056, 7168, 1.427555389221557e-05
2056, 3584, 7.145953093812375e-06
2056, 1792, 3.5811526946107783e-06
2056, 896, 1.79875249500998e-06
2064, 28672, 5.728209081836327e-05
2064, 14336, 2.8649221556886227e-05
2064, 7168, 1.4324610778443113e-05
2064, 3584, 7.162305389221557e-06
2064, 1792, 3.5811526946107783e-06
2064, 896, 1.79875249500998e-06
2080, 28672, 5.772360279441118e-05
2080, 14336, 2.886180139720559e-05
2080, 7168, 1.4439076846307385e-05
2080, 3584, 7.227714570858283e-06
2080, 1792, 3.6138572854291414e-06
2080, 896, 1.8151047904191617e-06
2112, 28672, 5.860662674650699e-05
2112, 14336, 2.9303313373253495e-05
2112, 7168, 1.4651656686626747e-05
2112, 3584, 7.325828343313374e-06
2112, 1792, 3.662914171656687e-06
2112, 896, 1.8314570858283434e-06
2176, 28672, 6.038902694610779e-05
2176, 14336, 3.0202689620758485e-05
2176, 7168, 1.5109520958083832e-05
2176, 3584, 7.554760479041916e-06
2176, 1792, 3.777380239520958e-06
2176, 896, 1.89686626746507e-06
2304, 28672, 6.39374750499002e-05
2304, 14336, 3.19687375249501e-05
2304, 7168, 1.599254491017964e-05
2304, 3584, 7.99627245508982e-06
2304, 1792, 4.006312375249501e-06
2304, 896, 2.0113323353293414e-06
2560, 28672, 7.105072355289421e-05
2560, 14336, 3.55335379241517e-05
2560, 7168, 1.7774945109780438e-05
2560, 3584, 8.89564870259481e-06
2560, 1792, 4.447824351297405e-06
2560, 896, 2.2239121756487025e-06
9, 53248, 4.742165668662675e-07
17, 53248, 8.830239520958084e-07
33, 53248, 1.7006387225548902e-06
65, 53248, 3.3522205588822357e-06
129, 53248, 6.655384231536926e-06
257, 53248, 1.3245359281437127e-05
17, 26624, 4.415119760479042e-07
33, 26624, 8.503193612774451e-07
65, 26624, 1.6842864271457084e-06
129, 26624, 3.335868263473054e-06
257, 26624, 6.6226796407185634e-06
33, 13312, 4.2515968063872254e-07
65, 13312, 8.503193612774451e-07
129, 13312, 1.667934131736527e-06
257, 13312, 3.319515968063872e-06
65, 6656, 4.2515968063872254e-07
129, 6656, 8.339670658682634e-07
257, 6656, 1.667934131736527e-06
129, 3328, 4.2515968063872254e-07
257, 3328, 8.339670658682634e-07
257, 1664, 4.2515968063872254e-07
3, 53248, 1.6352295409181635e-07
5, 53248, 2.616367265469062e-07
5, 26624, 1.308183632734531e-07
9, 26624, 2.4528443113772456e-07
9, 13312, 1.308183632734531e-07
17, 13312, 2.2893213572854293e-07
17, 6656, 1.1446606786427146e-07
33, 6656, 2.1257984031936127e-07
33, 3328, 1.1446606786427146e-07
65, 3328, 2.1257984031936127e-07
65, 1664, 1.1446606786427146e-07
129, 1664, 2.1257984031936127e-07
129, 832, 1.1446606786427146e-07
257, 832, 2.1257984031936127e-07
257, 416, 1.1446606786427146e-07
258, 53248, 1.3310768463073851e-05
258, 26624, 6.655384231536926e-06
258, 13312, 3.335868263473054e-06
258, 6656, 1.667934131736527e-06
258, 3328, 8.339670658682634e-07
258, 1664, 4.2515968063872254e-07
258, 832, 2.1257984031936127e-07
258, 416, 1.1446606786427146e-07
130, 53248, 6.7044411177644715e-06
260, 53248, 1.3408882235528943e-05
130, 26624, 3.3522205588822357e-06
260, 26624, 6.7044411177644715e-06
130, 13312, 1.6842864271457084e-06
260, 13312, 3.3522205588822357e-06
130, 6656, 8.503193612774451e-07
260, 6656, 1.6842864271457084e-06
130, 3328, 4.2515968063872254e-07
260, 3328, 8.503193612774451e-07
260, 1664, 4.2515968063872254e-07
130, 1664, 2.1257984031936127e-07
130, 832, 1.1446606786427146e-07
260, 832, 2.1257984031936127e-07
260, 416, 1.1446606786427146e-07
66, 53248, 3.4012774451097803e-06
132, 53248, 6.802554890219561e-06
264, 53248, 1.3605109780439121e-05
66, 26624, 1.7006387225548902e-06
132, 26624, 3.4012774451097803e-06
264, 26624, 6.802554890219561e-06
66, 13312, 8.503193612774451e-07
132, 13312, 1.7006387225548902e-06
264, 13312, 3.4012774451097803e-06
66, 6656, 4.2515968063872254e-07
132, 6656, 8.503193612774451e-07
264, 6656, 1.7006387225548902e-06
132, 3328, 4.2515968063872254e-07
264, 3328, 8.503193612774451e-07
264, 1664, 4.2515968063872254e-07
66, 3328, 2.1257984031936127e-07
