M, N, latency
260, 416, 2.0415169660678642e-07
66, 53248, 5.307944111776447e-06
132, 53248, 1.0615888223552894e-05
264, 53248, 2.123177644710579e-05
66, 26624, 2.6539720558882236e-06
132, 26624, 5.307944111776447e-06
264, 26624, 1.0615888223552894e-05
66, 13312, 1.3269860279441118e-06
132, 13312, 2.6539720558882236e-06
264, 13312, 5.307944111776447e-06
66, 6656, 6.634930139720559e-07
132, 6656, 1.3269860279441118e-06
264, 6656, 2.6539720558882236e-06
132, 3328, 6.634930139720559e-07
264, 3328, 1.3269860279441118e-06
264, 1664, 6.634930139720559e-07
66, 3328, 3.5726546906187623e-07
66, 1664, 2.0415169660678642e-07
132, 1664, 3.5726546906187623e-07
132, 832, 2.0415169660678642e-07
264, 832, 3.5726546906187623e-07
264, 416, 2.0415169660678642e-07
34, 53248, 2.7560479041916167e-06
68, 53248, 5.5120958083832335e-06
136, 53248, 1.097315369261477e-05
272, 53248, 2.1895269461077843e-05
34, 26624, 1.3780239520958084e-06
68, 26624, 2.7560479041916167e-06
136, 26624, 5.5120958083832335e-06
272, 26624, 1.097315369261477e-05
34, 13312, 7.145309381237525e-07
68, 13312, 1.3780239520958084e-06
136, 13312, 2.7560479041916167e-06
272, 13312, 5.5120958083832335e-06
68, 6656, 7.145309381237525e-07
136, 6656, 1.3780239520958084e-06
272, 6656, 2.7560479041916167e-06
136, 3328, 7.145309381237525e-07
272, 3328, 1.3780239520958084e-06
272, 1664, 7.145309381237525e-07
34, 6656, 3.5726546906187623e-07
34, 3328, 2.0415169660678642e-07
68, 3328, 3.5726546906187623e-07
68, 1664, 2.0415169660678642e-07
136, 1664, 3.5726546906187623e-07
136, 832, 2.0415169660678642e-07
272, 832, 3.5726546906187623e-07
272, 416, 2.0415169660678642e-07
18, 53248, 1.4800998003992015e-06
36, 53248, 2.9091616766467066e-06
72, 53248, 5.818323353293413e-06
144, 53248, 1.158560878243513e-05
288, 53248, 2.317121756487026e-05
18, 26624, 7.655688622754491e-07
36, 26624, 1.4800998003992015e-06
72, 26624, 2.9091616766467066e-06
144, 26624, 5.818323353293413e-06
288, 26624, 1.158560878243513e-05
36, 13312, 7.655688622754491e-07
72, 13312, 1.4800998003992015e-06
144, 13312, 2.9091616766467066e-06
288, 13312, 5.818323353293413e-06
72, 6656, 7.655688622754491e-07
144, 6656, 1.4800998003992015e-06
288, 6656, 2.9091616766467066e-06
144, 3328, 7.655688622754491e-07
288, 3328, 1.4800998003992015e-06
288, 1664, 7.655688622754491e-07
18, 13312, 4.0830339321357284e-07
18, 6656, 2.0415169660678642e-07
36, 6656, 4.0830339321357284e-07
36, 3328, 2.0415169660678642e-07
72, 3328, 4.0830339321357284e-07
72, 1664, 2.0415169660678642e-07
144, 1664, 4.0830339321357284e-07
144, 832, 2.0415169660678642e-07
288, 832, 4.0830339321357284e-07
288, 416, 2.0415169660678642e-07
10, 53248, 8.166067864271457e-07
20, 53248, 1.6332135728542914e-06
40, 53248, 3.2664271457085827e-06
80, 53248, 6.481816367265469e-06
160, 53248, 1.2912594810379242e-05
320, 53248, 2.5774151696606785e-05
20, 26624, 8.166067864271457e-07
40, 26624, 1.6332135728542914e-06
80, 26624, 3.2664271457085827e-06
160, 26624, 6.481816367265469e-06
320, 26624, 1.2912594810379242e-05
40, 13312, 8.166067864271457e-07
80, 13312, 1.6332135728542914e-06
160, 13312, 3.2664271457085827e-06
320, 13312, 6.481816367265469e-06
80, 6656, 8.166067864271457e-07
160, 6656, 1.6332135728542914e-06
320, 6656, 3.2664271457085827e-06
160, 3328, 8.166067864271457e-07
320, 3328, 1.6332135728542914e-06
320, 1664, 8.166067864271457e-07
10, 26624, 4.0830339321357284e-07
10, 13312, 2.0415169660678642e-07
20, 13312, 4.0830339321357284e-07
20, 6656, 2.0415169660678642e-07
40, 6656, 4.0830339321357284e-07
40, 3328, 2.0415169660678642e-07
80, 3328, 4.0830339321357284e-07
80, 1664, 2.0415169660678642e-07
160, 1664, 4.0830339321357284e-07
160, 832, 2.0415169660678642e-07
320, 832, 4.0830339321357284e-07
320, 416, 2.0415169660678642e-07
12, 53248, 9.697205588822355e-07
24, 53248, 1.939441117764471e-06
48, 53248, 3.878882235528942e-06
96, 53248, 7.757764471057884e-06
192, 53248, 1.5464491017964074e-05
384, 53248, 3.092898203592815e-05
24, 26624, 9.697205588822355e-07
48, 26624, 1.939441117764471e-06
96, 26624, 3.878882235528942e-06
192, 26624, 7.757764471057884e-06
384, 26624, 1.5464491017964074e-05
48, 13312, 9.697205588822355e-07
96, 13312, 1.939441117764471e-06
192, 13312, 3.878882235528942e-06
384, 13312, 7.757764471057884e-06
96, 6656, 9.697205588822355e-07
192, 6656, 1.939441117764471e-06
384, 6656, 3.878882235528942e-06
192, 3328, 9.697205588822355e-07
384, 3328, 1.939441117764471e-06
384, 1664, 9.697205588822355e-07
6, 53248, 5.10379241516966e-07
6, 26624, 2.55189620758483e-07
12, 26624, 5.10379241516966e-07
12, 13312, 2.55189620758483e-07
24, 13312, 5.10379241516966e-07
24, 6656, 2.55189620758483e-07
48, 6656, 5.10379241516966e-07
48, 3328, 2.55189620758483e-07
96, 3328, 5.10379241516966e-07
96, 1664, 2.55189620758483e-07
192, 1664, 5.10379241516966e-07
192, 832, 2.55189620758483e-07
384, 832, 5.10379241516966e-07
384, 416, 2.55189620758483e-07
16, 53248, 1.3269860279441118e-06
32, 53248, 2.602934131736527e-06
64, 53248, 5.154830339321357e-06
128, 53248, 1.0309660678642714e-05
256, 53248, 2.0619321357285428e-05
512, 53248, 4.118760479041916e-05
32, 26624, 1.3269860279441118e-06
64, 26624, 2.602934131736527e-06
128, 26624, 5.154830339321357e-06
256, 26624, 1.0309660678642714e-05
512, 26624, 2.0619321357285428e-05
64, 13312, 1.3269860279441118e-06
128, 13312, 2.602934131736527e-06
256, 13312, 5.154830339321357e-06
512, 13312, 1.0309660678642714e-05
128, 6656, 1.3269860279441118e-06
256, 6656, 2.602934131736527e-06
512, 6656, 5.154830339321357e-06
256, 3328, 1.3269860279441118e-06
512, 3328, 2.602934131736527e-06
512, 1664, 1.3269860279441118e-06
4, 53248, 3.5726546906187623e-07
8, 53248, 6.634930139720559e-07
8, 26624, 3.5726546906187623e-07
16, 26624, 6.634930139720559e-07
16, 13312, 3.5726546906187623e-07
32, 13312, 6.634930139720559e-07
32, 6656, 3.5726546906187623e-07
64, 6656, 6.634930139720559e-07
64, 3328, 3.5726546906187623e-07
128, 3328, 6.634930139720559e-07
128, 1664, 3.5726546906187623e-07
256, 1664, 6.634930139720559e-07
256, 832, 3.5726546906187623e-07
512, 832, 6.634930139720559e-07
512, 416, 3.5726546906187623e-07
768, 53248, 6.180692614770459e-05
768, 26624, 3.092898203592815e-05
768, 13312, 1.5464491017964074e-05
768, 6656, 7.757764471057884e-06
768, 3328, 3.878882235528942e-06
768, 1664, 1.939441117764471e-06
768, 832, 9.697205588822355e-07
768, 416, 5.10379241516966e-07
513, 53248, 4.128968063872255e-05
513, 26624, 2.0670359281437124e-05
513, 13312, 1.036069860279441e-05
513, 6656, 5.205868263473054e-06
513, 3328, 2.602934131736527e-06
513, 1664, 1.3269860279441118e-06
513, 832, 6.634930139720559e-07
513, 416, 3.5726546906187623e-07
514, 53248, 4.134071856287425e-05
514, 26624, 2.0670359281437124e-05
514, 13312, 1.036069860279441e-05
514, 6656, 5.205868263473054e-06
514, 3328, 2.602934131736527e-06
514, 1664, 1.3269860279441118e-06
514, 832, 6.634930139720559e-07
514, 416, 3.5726546906187623e-07
516, 53248, 4.1544870259481036e-05
