M, N, latency
32, 26624, 1.952200598802395e-06
64, 26624, 3.8661227544910185e-06
128, 26624, 7.732245508982037e-06
256, 26624, 1.5464491017964074e-05
512, 26624, 3.089070359281437e-05
64, 13312, 1.952200598802395e-06
128, 13312, 3.8661227544910185e-06
256, 13312, 7.732245508982037e-06
512, 13312, 1.5464491017964074e-05
128, 6656, 1.952200598802395e-06
256, 6656, 3.8661227544910185e-06
512, 6656, 7.732245508982037e-06
256, 3328, 1.952200598802395e-06
512, 3328, 3.8661227544910185e-06
512, 1664, 1.952200598802395e-06
4, 53248, 4.976197604790419e-07
8, 53248, 9.952395209580839e-07
8, 26624, 4.976197604790419e-07
16, 26624, 9.952395209580839e-07
16, 13312, 4.976197604790419e-07
32, 13312, 9.952395209580839e-07
32, 6656, 4.976197604790419e-07
64, 6656, 9.952395209580839e-07
64, 3328, 4.976197604790419e-07
128, 3328, 9.952395209580839e-07
128, 1664, 4.976197604790419e-07
256, 1664, 9.952395209580839e-07
256, 832, 4.976197604790419e-07
512, 832, 9.952395209580839e-07
512, 416, 4.976197604790419e-07
768, 53248, 9.267211077844312e-05
768, 26624, 4.6355194610778446e-05
768, 13312, 2.3196736526946108e-05
768, 6656, 1.1598368263473054e-05
768, 3328, 5.818323353293413e-06
768, 1664, 2.9091616766467066e-06
768, 832, 1.4545808383233533e-06
768, 416, 7.272904191616767e-07
513, 53248, 6.189624251497005e-05
513, 26624, 3.096726047904192e-05
513, 13312, 1.5502769461077843e-05
513, 6656, 7.77052395209581e-06
513, 3328, 3.90440119760479e-06
513, 1664, 1.952200598802395e-06
513, 832, 9.952395209580839e-07
513, 416, 4.976197604790419e-07
514, 53248, 6.201107784431137e-05
514, 26624, 3.1005538922155687e-05
514, 13312, 1.5502769461077843e-05
514, 6656, 7.77052395209581e-06
514, 3328, 3.90440119760479e-06
514, 1664, 1.952200598802395e-06
514, 832, 9.952395209580839e-07
514, 416, 4.976197604790419e-07
516, 53248, 6.227902694610778e-05
516, 26624, 3.115865269461078e-05
516, 13312, 1.557932634730539e-05
516, 6656, 7.80880239520958e-06
516, 3328, 3.90440119760479e-06
516, 1664, 1.952200598802395e-06
516, 832, 9.952395209580839e-07
516, 416, 4.976197604790419e-07
520, 53248, 6.273836826347306e-05
520, 26624, 3.138832335329341e-05
520, 13312, 1.5694161676646706e-05
520, 6656, 7.847080838323353e-06
520, 3328, 3.942679640718563e-06
520, 1664, 1.9904790419161677e-06
520, 832, 9.952395209580839e-07
520, 416, 4.976197604790419e-07
528, 53248, 6.369532934131737e-05
528, 26624, 3.184766467065868e-05
528, 13312, 1.592383233532934e-05
528, 6656, 7.96191616766467e-06
528, 3328, 3.980958083832335e-06
528, 1664, 1.9904790419161677e-06
528, 832, 9.952395209580839e-07
528, 416, 4.976197604790419e-07
544, 53248, 6.564752994011976e-05
544, 26624, 3.284290419161677e-05
544, 13312, 1.6421452095808385e-05
544, 6656, 8.229865269461077e-06
544, 3328, 4.134071856287425e-06
544, 1664, 2.0670359281437124e-06
544, 832, 1.0335179640718562e-06
544, 416, 5.358982035928144e-07
576, 53248, 6.951365269461078e-05
576, 26624, 3.475682634730539e-05
576, 13312, 1.7378413173652696e-05
576, 6656, 8.689206586826348e-06
576, 3328, 4.36374251497006e-06
576, 1664, 2.18187125748503e-06
576, 832, 1.1100748502994012e-06
576, 416, 5.741766467065869e-07
640, 53248, 7.720761976047904e-05
640, 26624, 3.8622949101796406e-05
640, 13312, 1.933061377245509e-05
640, 6656, 9.684446107784432e-06
640, 3328, 4.861362275449102e-06
640, 1664, 2.4498203592814374e-06
640, 832, 1.2249101796407187e-06
640, 416, 6.124550898203593e-07
1024, 53248, 0.0001235628143712575
1024, 26624, 6.178140718562874e-05
1024, 13312, 3.089070359281437e-05
1024, 6656, 1.5464491017964074e-05
1024, 3328, 7.732245508982037e-06
1024, 1664, 3.8661227544910185e-06
1024, 832, 1.952200598802395e-06
1024, 416, 9.952395209580839e-07
1025, 53248, 0.0001236776497005988
1025, 26624, 6.18579640718563e-05
1025, 13312, 3.092898203592815e-05
1025, 6656, 1.5464491017964074e-05
1025, 3328, 7.732245508982037e-06
1025, 1664, 3.8661227544910185e-06
1025, 832, 1.952200598802395e-06
1025, 416, 9.952395209580839e-07
1026, 53248, 0.0001237924850299401
1026, 26624, 6.189624251497005e-05
1026, 13312, 3.096726047904192e-05
1026, 6656, 1.5502769461077843e-05
1026, 3328, 7.77052395209581e-06
1026, 1664, 3.90440119760479e-06
1026, 832, 1.952200598802395e-06
1026, 416, 9.952395209580839e-07
1028, 53248, 0.00012402215568862275
1028, 26624, 6.201107784431137e-05
1028, 13312, 3.1005538922155687e-05
1028, 6656, 1.5502769461077843e-05
1028, 3328, 7.77052395209581e-06
1028, 1664, 3.90440119760479e-06
1028, 832, 1.952200598802395e-06
1028, 416, 9.952395209580839e-07
1032, 53248, 0.0001245197754491018
1032, 26624, 6.227902694610778e-05
1032, 13312, 3.115865269461078e-05
1032, 6656, 1.557932634730539e-05
1032, 3328, 7.80880239520958e-06
1032, 1664, 3.90440119760479e-06
1032, 832, 1.952200598802395e-06
1032, 416, 9.952395209580839e-07
1040, 53248, 0.0001254767365269461
1040, 26624, 6.273836826347306e-05
1040, 13312, 3.138832335329341e-05
1040, 6656, 1.5694161676646706e-05
1040, 3328, 7.847080838323353e-06
1040, 1664, 3.942679640718563e-06
1040, 832, 1.9904790419161677e-06
1040, 416, 9.952395209580839e-07
1056, 53248, 0.00012739065868263473
1056, 26624, 6.369532934131737e-05
1056, 13312, 3.184766467065868e-05
1056, 6656, 1.592383233532934e-05
1056, 3328, 7.96191616766467e-06
1056, 1664, 3.980958083832335e-06
1056, 832, 1.9904790419161677e-06
1056, 416, 9.952395209580839e-07
1088, 53248, 0.00013125678143712573
1088, 26624, 6.564752994011976e-05
1088, 13312, 3.284290419161677e-05
1088, 6656, 1.6421452095808385e-05
1088, 3328, 8.229865269461077e-06
1088, 1664, 4.134071856287425e-06
1088, 832, 2.0670359281437124e-06
1088, 416, 1.0335179640718562e-06
1152, 53248, 0.0001389890269461078
1152, 26624, 6.951365269461078e-05
1152, 13312, 3.475682634730539e-05
1152, 6656, 1.7378413173652696e-05
1152, 3328, 8.689206586826348e-06
1152, 1664, 4.36374251497006e-06
1152, 832, 2.18187125748503e-06
1152, 416, 1.1100748502994012e-06
1280, 53248, 0.00015441523952095809
1280, 26624, 7.720761976047904e-05
1280, 13312, 3.8622949101796406e-05
1280, 6656, 1.933061377245509e-05
1280, 3328, 9.684446107784432e-06
1280, 1664, 4.861362275449102e-06
1280, 832, 2.4498203592814374e-06
1280, 416, 1.2249101796407187e-06
1536, 53248, 0.00018530594311377246
1536, 26624, 9.267211077844312e-05
1536, 13312, 4.6355194610778446e-05
1536, 6656, 2.3196736526946108e-05
1536, 3328, 1.1598368263473054e-05
1536, 1664, 5.818323353293413e-06
1536, 832, 2.9091616766467066e-06
1536, 416, 1.4545808383233533e-06
2049, 53248, 0.0002472021856287425
2049, 26624, 0.00012360109281437124
2049, 13312, 6.181968562874251e-05
2049, 6656, 3.092898203592815e-05
2049, 3328, 1.5464491017964074e-05
2049, 1664, 7.732245508982037e-06
2049, 832, 3.8661227544910185e-06
2049, 416, 1.952200598802395e-06
2050, 53248, 0.00024731702095808384
2050, 26624, 0.0001236776497005988
2050, 13312, 6.18579640718563e-05
2050, 6656, 3.092898203592815e-05
2050, 3328, 1.5464491017964074e-05
2050, 1664, 7.732245508982037e-06
2050, 832, 3.8661227544910185e-06
2050, 416, 1.952200598802395e-06
2052, 53248, 0.0002475466916167665
2052, 26624, 0.0001237924850299401
2052, 13312, 6.189624251497005e-05
2052, 6656, 3.096726047904192e-05
2052, 3328, 1.5502769461077843e-05
2052, 1664, 7.77052395209581e-06
