M, N, latency
132, 53248, 2.643370212765957e-05
264, 53248, 5.286740425531914e-05
66, 26624, 6.654638297872341e-06
132, 26624, 1.3247659574468085e-05
264, 26624, 2.643370212765957e-05
66, 13312, 3.3273191489361704e-06
132, 13312, 6.654638297872341e-06
264, 13312, 1.3247659574468085e-05
66, 6656, 1.6636595744680852e-06
132, 6656, 3.3273191489361704e-06
264, 6656, 6.654638297872341e-06
132, 3328, 1.6636595744680852e-06
264, 3328, 3.3273191489361704e-06
264, 1664, 1.6636595744680852e-06
66, 3328, 8.626382978723404e-07
66, 1664, 4.313191489361702e-07
132, 1664, 8.626382978723404e-07
132, 832, 4.313191489361702e-07
264, 832, 8.626382978723404e-07
264, 416, 4.313191489361702e-07
34, 53248, 6.839489361702127e-06
68, 53248, 1.361736170212766e-05
136, 53248, 2.723472340425532e-05
272, 53248, 5.446944680851064e-05
34, 26624, 3.4505531914893616e-06
68, 26624, 6.839489361702127e-06
136, 26624, 1.361736170212766e-05
272, 26624, 2.723472340425532e-05
34, 13312, 1.7252765957446808e-06
68, 13312, 3.4505531914893616e-06
136, 13312, 6.839489361702127e-06
272, 13312, 1.361736170212766e-05
68, 6656, 1.7252765957446808e-06
136, 6656, 3.4505531914893616e-06
272, 6656, 6.839489361702127e-06
136, 3328, 1.7252765957446808e-06
272, 3328, 3.4505531914893616e-06
272, 1664, 1.7252765957446808e-06
34, 6656, 8.626382978723404e-07
34, 3328, 4.313191489361702e-07
68, 3328, 8.626382978723404e-07
68, 1664, 4.313191489361702e-07
136, 1664, 8.626382978723404e-07
136, 832, 4.313191489361702e-07
272, 832, 8.626382978723404e-07
272, 416, 4.313191489361702e-07
18, 53248, 3.635404255319149e-06
36, 53248, 7.209191489361702e-06
72, 53248, 1.4418382978723404e-05
144, 53248, 2.8836765957446808e-05
288, 53248, 5.7673531914893616e-05
18, 26624, 1.8485106382978723e-06
36, 26624, 3.635404255319149e-06
72, 26624, 7.209191489361702e-06
144, 26624, 1.4418382978723404e-05
288, 26624, 2.8836765957446808e-05
36, 13312, 1.8485106382978723e-06
72, 13312, 3.635404255319149e-06
144, 13312, 7.209191489361702e-06
288, 13312, 1.4418382978723404e-05
72, 6656, 1.8485106382978723e-06
144, 6656, 3.635404255319149e-06
288, 6656, 7.209191489361702e-06
144, 3328, 1.8485106382978723e-06
288, 3328, 3.635404255319149e-06
288, 1664, 1.8485106382978723e-06
18, 13312, 9.242553191489361e-07
18, 6656, 4.92936170212766e-07
36, 6656, 9.242553191489361e-07
36, 3328, 4.92936170212766e-07
72, 3328, 9.242553191489361e-07
72, 1664, 4.92936170212766e-07
144, 1664, 9.242553191489361e-07
144, 832, 4.92936170212766e-07
288, 832, 9.242553191489361e-07
288, 416, 4.92936170212766e-07
10, 53248, 2.03336170212766e-06
20, 53248, 4.005106382978723e-06
40, 53248, 8.010212765957447e-06
80, 53248, 1.6020425531914893e-05
160, 53248, 3.204085106382979e-05
320, 53248, 6.408170212765957e-05
20, 26624, 2.03336170212766e-06
40, 26624, 4.005106382978723e-06
80, 26624, 8.010212765957447e-06
160, 26624, 1.6020425531914893e-05
320, 26624, 3.204085106382979e-05
40, 13312, 2.03336170212766e-06
80, 13312, 4.005106382978723e-06
160, 13312, 8.010212765957447e-06
320, 13312, 1.6020425531914893e-05
80, 6656, 2.03336170212766e-06
160, 6656, 4.005106382978723e-06
320, 6656, 8.010212765957447e-06
160, 3328, 2.03336170212766e-06
320, 3328, 4.005106382978723e-06
320, 1664, 2.03336170212766e-06
10, 26624, 1.0474893617021276e-06
10, 13312, 5.545531914893617e-07
20, 13312, 1.0474893617021276e-06
20, 6656, 5.545531914893617e-07
40, 6656, 1.0474893617021276e-06
40, 3328, 5.545531914893617e-07
80, 3328, 1.0474893617021276e-06
80, 1664, 5.545531914893617e-07
160, 1664, 1.0474893617021276e-06
160, 832, 5.545531914893617e-07
320, 832, 1.0474893617021276e-06
320, 416, 5.545531914893617e-07
12, 53248, 2.403063829787234e-06
24, 53248, 4.806127659574468e-06
48, 53248, 9.612255319148936e-06
96, 53248, 1.9224510638297872e-05
192, 53248, 3.8449021276595744e-05
384, 53248, 7.689804255319149e-05
24, 26624, 2.403063829787234e-06
48, 26624, 4.806127659574468e-06
96, 26624, 9.612255319148936e-06
192, 26624, 1.9224510638297872e-05
