device_count, batch, seq_len, q_mul_k_latency, a_mul_v_latency, other_latency, allreduce_latency, a_mul_k_roofline, k_mul_v_roofline
48, 1, 65536, 1.834722439236111e-06, 1.834722439236111e-06, 2.556326250907276e-06, 5.373813333333333e-05, 1.7977683128062057e-06, 1.7977683128062057e-06
96, 1, 32, 4.758029513888889e-10, 4.758029513888889e-10, 3.98969209442891e-07, 5.373813333333333e-05, 4.662195495372891e-10, 4.662195495372891e-10
96, 1, 64, 9.237196180555556e-10, 9.237196180555556e-10, 3.998034798984469e-07, 5.373813333333333e-05, 9.051144869352205e-10, 9.051144869352205e-10
96, 1, 128, 1.8195529513888889e-09, 1.8195529513888889e-09, 4.025154047878799e-07, 5.373813333333333e-05, 1.7829043617310834e-09, 1.7829043617310834e-09
96, 1, 256, 3.6112196180555555e-09, 3.6112196180555555e-09, 4.0575727359902404e-07, 5.373813333333333e-05, 3.538484111322809e-09, 3.538484111322809e-09
96, 1, 512, 7.194552951388889e-09, 7.194552951388889e-09, 4.1442813413794693e-07, 5.373813333333333e-05, 7.04964361050626e-09, 7.04964361050626e-09
96, 1, 1024, 1.4361219618055555e-08, 1.4361219618055555e-08, 4.3173452526764655e-07, 5.373813333333333e-05, 1.4071962608873163e-08, 1.4071962608873163e-08
96, 1, 2048, 2.8694552951388888e-08, 2.8694552951388888e-08, 4.650088856378153e-07, 5.373813333333333e-05, 2.811660060560697e-08, 2.811660060560697e-08
96, 1, 4096, 5.7361219618055557e-08, 5.7361219618055557e-08, 5.315576063781528e-07, 5.373813333333333e-05, 5.620587659907458e-08, 5.620587659907458e-08
96, 1, 8192, 1.1469455295138889e-07, 1.1469455295138889e-07, 6.657437794864815e-07, 5.373813333333333e-05, 1.123844285860098e-07, 1.123844285860098e-07
96, 1, 16384, 2.2936121961805555e-07, 2.2936121961805555e-07, 9.341161257031391e-07, 5.373813333333333e-05, 2.2474153255988024e-07, 2.2474153255988024e-07
96, 1, 32768, 4.5869455295138887e-07, 4.5869455295138887e-07, 1.4697720865088007e-06, 5.373813333333333e-05, 4.4945574050762114e-07, 4.4945574050762114e-07
96, 1, 65536, 9.173612196180555e-07, 9.173612196180555e-07, 2.5421727397477767e-06, 5.373813333333333e-05, 8.988841564031029e-07, 8.988841564031029e-07
