device_count, batch, seq_len, q_mul_k_latency, a_mul_v_latency, other_latency, allreduce_latency, a_mul_k_roofline, k_mul_v_roofline
32, 1, 512, 7.19455295138889e-08, 7.194552951388888e-08, 3.564175826346666e-07, 5.36656e-05, 3.597276475694445e-08, 3.597276475694445e-08
32, 1, 1024, 1.4361219618055555e-07, 1.4361219618055555e-07, 3.772861946561423e-07, 5.36656e-05, 7.180609809027778e-08, 7.180609809027778e-08
32, 1, 2048, 2.869455295138889e-07, 2.869455295138889e-07, 4.176373106060606e-07, 5.36656e-05, 1.4347276475694445e-07, 1.4347276475694445e-07
32, 1, 4096, 5.736121961805555e-07, 5.736121961805555e-07, 4.983395425058973e-07, 5.36656e-05, 2.8680609809027777e-07, 2.8680609809027777e-07
32, 1, 8192, 1.1469455295138888e-06, 1.1469455295138888e-06, 6.597440063055707e-07, 5.36656e-05, 5.734727647569444e-07, 5.734727647569444e-07
32, 1, 16384, 2.2936121961805554e-06, 2.2936121961805554e-06, 9.825529339049175e-07, 5.36656e-05, 1.1468060980902777e-06, 1.1468060980902777e-06
32, 1, 32768, 4.5869455295138885e-06, 4.5869455295138885e-06, 1.6292595207312648e-06, 5.36656e-05, 2.2934727647569442e-06, 2.2934727647569442e-06
32, 1, 65536, 9.173612196180555e-06, 9.173612196180555e-06, 2.9215839627563057e-06, 5.36656e-05, 4.586806098090277e-06, 4.586806098090277e-06
32, 2, 32, 9.516059027777778e-09, 9.516059027777778e-09, 3.527835840952085e-07, 5.3810666666666656e-05, 4.758029513888889e-09, 4.758029513888889e-09
32, 2, 64, 1.8474392361111113e-08, 1.8474392361111113e-08, 3.5377718471734276e-07, 5.3810666666666656e-05, 9.237196180555556e-09, 9.237196180555556e-09
32, 2, 128, 3.639105902777778e-08, 3.639105902777778e-08, 3.5679910938090867e-07, 5.3810666666666656e-05, 1.819552951388889e-08, 1.819552951388889e-08
32, 2, 256, 7.222439236111111e-08, 7.22243923611111e-08, 3.6174884656878455e-07, 5.3810666666666656e-05, 3.611219618055556e-08, 3.611219618055556e-08
32, 2, 512, 1.4389105902777776e-07, 1.438910590277778e-07, 3.7274855704947335e-07, 5.3810666666666656e-05, 7.19455295138889e-08, 7.19455295138889e-08
32, 2, 1024, 2.872243923611111e-07, 2.872243923611111e-07, 3.947059006986028e-07, 5.3810666666666656e-05, 1.4361219618055555e-07, 1.4361219618055555e-07
32, 2, 2048, 5.738910590277778e-07, 5.738910590277778e-07, 4.372344799038287e-07, 5.3810666666666656e-05, 2.869455295138889e-07, 2.869455295138889e-07
32, 2, 4096, 1.147224392361111e-06, 1.147224392361111e-06, 5.222916383142805e-07, 5.3810666666666656e-05, 5.736121961805555e-07, 5.736121961805555e-07
32, 2, 8192, 2.2938910590277776e-06, 2.2938910590277776e-06, 6.924059551351842e-07, 5.3810666666666656e-05, 1.1469455295138888e-06, 1.1469455295138888e-06
32, 2, 16384, 4.587224392361111e-06, 4.587224392361111e-06, 1.0337233204046455e-06, 5.3810666666666656e-05, 2.2936121961805554e-06, 2.2936121961805554e-06
32, 2, 32768, 9.173891059027777e-06, 9.173891059027777e-06, 1.7152693193159137e-06, 5.3810666666666656e-05, 4.5869455295138885e-06, 4.5869455295138885e-06
32, 2, 65536, 1.834722439236111e-05, 1.834722439236111e-05, 3.0794500487661044e-06, 5.3810666666666656e-05, 9.173612196180555e-06, 9.173612196180555e-06
64, 1, 32, 2.3790147569444446e-09, 2.3790147569444446e-09, 3.3754134130805554e-07, 5.36656e-05, 1.1895073784722223e-09, 1.1895073784722223e-09
64, 1, 64, 4.618598090277778e-09, 4.618598090277778e-09, 3.385349419301898e-07, 5.36656e-05, 2.309299045138889e-09, 2.309299045138889e-09
64, 1, 128, 9.097764756944444e-09, 9.097764756944444e-09, 3.415568665937557e-07, 5.36656e-05, 4.548882378472222e-09, 4.548882378472222e-09
64, 1, 256, 1.805609809027778e-08, 1.805609809027778e-08, 3.4541787215397777e-07, 5.36656e-05, 9.02804904513889e-09, 9.02804904513889e-09
64, 1, 512, 3.597276475694445e-08, 3.597276475694445e-08, 3.5532885100701286e-07, 5.36656e-05, 1.7986382378472223e-08, 1.7986382378472223e-08
64, 1, 1024, 7.180609809027778e-08, 7.180609809027778e-08, 3.7619746302848847e-07, 5.36656e-05, 3.590304904513889e-08, 3.590304904513889e-08
64, 1, 2048, 1.4347276475694445e-07, 1.4347276475694445e-07, 4.15459847350753e-07, 5.36656e-05, 7.173638237847222e-08, 7.173638237847222e-08
64, 1, 4096, 2.8680609809027777e-07, 2.8680609809027777e-07, 4.939846159952822e-07, 5.36656e-05, 1.4340304904513888e-07, 1.4340304904513888e-07
64, 1, 8192, 5.734727647569444e-07, 5.734727647569444e-07, 6.510341532843405e-07, 5.36656e-05, 2.867363823784722e-07, 2.867363823784722e-07
64, 1, 16384, 1.1468060980902777e-06, 1.1468060980902777e-06, 9.65133227862457e-07, 5.36656e-05, 5.734030490451388e-07, 5.734030490451388e-07
64, 1, 32768, 2.2934727647569442e-06, 2.2934727647569442e-06, 1.5933313770186898e-06, 5.36656e-05, 1.1467363823784721e-06, 1.1467363823784721e-06
64, 1, 65536, 4.586806098090277e-06, 4.586806098090277e-06, 2.85081640695881e-06, 5.36656e-05, 2.2934030490451387e-06, 2.2934030490451387e-06
64, 2, 32, 4.758029513888889e-09, 4.758029513888889e-09, 3.527835840952085e-07, 5.3810666666666656e-05, 2.3790147569444446e-09, 2.3790147569444446e-09
64, 2, 64, 9.237196180555556e-09, 9.237196180555555e-09, 3.5377718471734276e-07, 5.3810666666666656e-05, 4.618598090277778e-09, 4.618598090277778e-09
64, 2, 128, 1.819552951388889e-08, 1.819552951388889e-08, 3.5679910938090867e-07, 5.3810666666666656e-05, 9.097764756944444e-09, 9.097764756944444e-09
64, 2, 256, 3.611219618055556e-08, 3.611219618055555e-08, 3.6066011494113073e-07, 5.3810666666666656e-05, 1.805609809027778e-08, 1.805609809027778e-08
64, 2, 512, 7.19455295138889e-08, 7.194552951388888e-08, 3.716598254218196e-07, 5.3810666666666656e-05, 3.597276475694445e-08, 3.597276475694445e-08
64, 2, 1024, 1.4361219618055555e-07, 1.4361219618055555e-07, 3.925284374432952e-07, 5.3810666666666656e-05, 7.180609809027778e-08, 7.180609809027778e-08
64, 2, 2048, 2.869455295138889e-07, 2.869455295138889e-07, 4.3287955339321357e-07, 5.3810666666666656e-05, 1.4347276475694445e-07, 1.4347276475694445e-07
64, 2, 4096, 5.736121961805555e-07, 5.736121961805555e-07, 5.135817852930503e-07, 5.3810666666666656e-05, 2.8680609809027777e-07, 2.8680609809027777e-07
64, 2, 8192, 1.1469455295138888e-06, 1.1469455295138888e-06, 6.749862490927236e-07, 5.3810666666666656e-05, 5.734727647569444e-07, 5.734727647569444e-07
64, 2, 16384, 2.2936121961805554e-06, 2.2936121961805554e-06, 9.977951766920705e-07, 5.3810666666666656e-05, 1.1468060980902777e-06, 1.1468060980902777e-06
64, 2, 32768, 4.5869455295138885e-06, 4.5869455295138885e-06, 1.6445017635184179e-06, 5.3810666666666656e-05, 2.2934727647569442e-06, 2.2934727647569442e-06
64, 2, 65536, 9.173612196180555e-06, 9.173612196180555e-06, 2.9368262055434585e-06, 5.3810666666666656e-05, 4.586806098090277e-06, 4.586806098090277e-06
